tabela,campo,valor
fat_weblic_pedido_aquisicao,sta_pedido,EM_EDICAO
fat_weblic_pedido_aquisicao,sta_pedido,EM_REQUISICAO
fat_weblic_pedido_aquisicao_item,sta_item_pedido_estimado,True
fat_weblic_pedido_aquisicao_item,sta_item_pedido_estimado,False
fat_weblic_pedido_aquisicao_item,sta_item_pedido_nao_acumulativo,True
fat_weblic_pedido_aquisicao_item,sta_item_pedido_nao_acumulativo,False
fat_weblic_pedido_aquisicao_item,tpo_produto,MATERIAL
fat_weblic_pedido_aquisicao_item,tpo_produto,SERVIÇO
fat_weblic_processo,sta_processo_sistema_registro_preco,0
fat_weblic_processo,sta_processo_sistema_registro_preco,1
fat_weblic_processo,sta_processo_homologacao_parcial,0
fat_weblic_processo,sta_processo_homologacao_parcial,1
fat_weblic_processo,sta_processo,EM_EDICAO
fat_weblic_processo,sta_processo,EM_PROCESSO_LIC
fat_weblic_processo,sta_processo,PRE_PUBLICADO
fat_weblic_processo,sta_processo,SESSAO_FINALIZADA
fat_weblic_processo,sta_processo,ANULADO
fat_weblic_processo,sta_processo,CANCELADO
fat_weblic_processo,sta_processo,REVOGADO
fat_weblic_processo,sta_processo,RESULTADO_PUBLICADO
fat_weblic_processo,sta_processo,CADASTRADO
fat_weblic_processo,sta_processo_resultado,HOMOLOGADO
fat_weblic_processo,sta_processo_resultado,ANULADO
fat_weblic_processo,sta_processo_resultado,AGUARDANDO
fat_weblic_processo,sta_processo_resultado,FRUSTRADO
fat_weblic_processo,sta_processo_resultado,DESERTO
fat_weblic_processo,sta_processo_resultado,REVOGADO
fat_weblic_processo,sta_processo_resultado,FRACASSADO
fat_weblic_processo_item_resultado,sta_item_processo,EM_NEGOCIACAO
fat_weblic_processo_item_resultado,sta_item_processo,HOMOLOGADO
fat_weblic_processo_item_resultado,sta_item_processo,ANULADO
fat_weblic_processo_item_resultado,sta_item_processo,EM_ANDAMENTO
fat_weblic_processo_item_resultado,sta_item_processo,FRUSTRADO
fat_weblic_processo_item_resultado,sta_item_processo,DESERTO
fat_weblic_processo_item_resultado,sta_item_processo,AGUARDANDO_NEGOCIACAO
fat_weblic_processo_item_resultado,sta_item_processo,REVOGADO
fat_weblic_processo_item_resultado,sta_item_processo,NEGOCIADO
fat_weblic_processo_item_resultado,sta_fornecedor_estrangeiro,0
fat_weblic_processo_item_resultado,sta_fornecedor_estrangeiro,1
fat_weblic_processo_item_resultado,sta_fornecedor_estrangeiro,NULL
fat_weblic_processo_subitem,sta_item_processo_estimado,True
fat_weblic_processo_subitem,sta_item_processo_estimado,False
fat_weblic_processo_subitem,sta_item_processo_estimado,NULL
fat_weblic_processo_subitem,sta_item_processo_nao_acumulativo,True
fat_weblic_processo_subitem,sta_item_processo_nao_acumulativo,False
fat_weblic_processo_subitem,sta_item_processo_nao_acumulativo,NULL
fat_weblic_processo_subitem,sta_item_processo_me_epp,0
fat_weblic_processo_subitem,sta_item_processo_me_epp,1
fat_weblic_processo_subitem,sta_item_processo_resultado,NULL
fat_weblic_processo_subitem,sta_item_processo_resultado,EM_NEGOCIACAO
fat_weblic_processo_subitem,sta_item_processo_resultado,HOMOLOGADO
fat_weblic_processo_subitem,sta_item_processo_resultado,ANULADO
fat_weblic_processo_subitem,sta_item_processo_resultado,EM_ANDAMENTO
fat_weblic_processo_subitem,sta_item_processo_resultado,FRUSTRADO
fat_weblic_processo_subitem,sta_item_processo_resultado,DESERTO
fat_weblic_processo_subitem,sta_item_processo_resultado,AGUARDANDO_NEGOCIACAO
fat_weblic_processo_subitem,sta_item_processo_resultado,REVOGADO
fat_weblic_processo_subitem,sta_item_processo_resultado,NEGOCIADO
fat_weblic_processo_subitem,sta_item_processo_lote,NULL
fat_weblic_processo_subitem,sta_item_processo_lote,EM_NEGOCIACAO
fat_weblic_processo_subitem,sta_item_processo_lote,HOMOLOGADO
fat_weblic_processo_subitem,sta_item_processo_lote,ANULADO
fat_weblic_processo_subitem,sta_item_processo_lote,EM_ANDAMENTO
fat_weblic_processo_subitem,sta_item_processo_lote,FRUSTRADO
fat_weblic_processo_subitem,sta_item_processo_lote,DESERTO
fat_weblic_processo_subitem,sta_item_processo_lote,AGUARDANDO_NEGOCIACAO
fat_weblic_processo_subitem,sta_item_processo_lote,REVOGADO
fat_weblic_processo_subitem,sta_item_processo_lote,NEGOCIADO
fat_weblic_processo_subitem,tpo_produto,MATERIAL
fat_weblic_processo_subitem,tpo_produto,SERVIÇO
fat_weblic_requisicao,sta_requisicao,EM_EDICAO
fat_weblic_requisicao,sta_requisicao,CANCELADA
fat_weblic_requisicao,sta_requisicao,ENVIADA_SIGEF
fat_weblic_requisicao,sta_requisicao,EM_PROCESSO
fat_weblic_requisicao,tpo_requisicao,Credenciamento
fat_weblic_requisicao,tpo_requisicao,Dispensa de Licitação
fat_weblic_requisicao,tpo_requisicao,Sistema de Registro de Preços
fat_weblic_requisicao,tpo_requisicao,Recursos de Convênios
fat_weblic_requisicao,tpo_requisicao,Normal
fat_weblic_requisicao,tpo_requisicao,Orçamento não vigente
fat_weblic_requisicao_subitem,sta_item_requisicao_estimado,True
fat_weblic_requisicao_subitem,sta_item_requisicao_estimado,False
fat_weblic_requisicao_subitem,sta_item_requisicao_nao_acumulativo,True
fat_weblic_requisicao_subitem,sta_item_requisicao_nao_acumulativo,False
fat_weblic_requisicao_subitem,tpo_produto,MATERIAL
fat_weblic_requisicao_subitem,tpo_produto,SERVIÇO
